GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MetaData_Service,com.tvu.Metadata_BE.util,CommonUtility,483,0,28,0,91,0,20,0,6,0
MetaData_Service,com.tvu.Metadata_BE.Model,Scene,12,19,0,0,4,9,4,5,4,5
MetaData_Service,com.tvu.Metadata_BE.Model,DownloadTask,101,0,0,0,43,0,29,0,29,0
MetaData_Service,com.tvu.Metadata_BE.Model,ShortStories,28,31,0,0,10,15,9,8,9,8
MetaData_Service,com.tvu.Metadata_BE.Model,Marker,24,42,0,0,8,20,8,11,8,11
MetaData_Service,com.tvu.Metadata_BE.Model,Session,39,62,0,0,13,30,13,16,13,16
MetaData_Service,com.tvu.Metadata_BE.Model,Records,45,7,0,0,19,3,13,2,13,2
MetaData_Service,com.tvu.Metadata_BE.Model,Sources,22,23,0,0,8,11,7,6,7,6
MetaData_Service,com.tvu.Metadata_BE.dto,StatusResponse,31,0,0,0,13,0,9,0,9,0
MetaData_Service,com.tvu.Metadata_BE.dto,SourcesResponse,31,0,0,0,13,0,9,0,9,0
MetaData_Service,com.tvu.Metadata_BE.dto,RecordInfoDTO,52,0,0,0,22,0,15,0,15,0
MetaData_Service,com.tvu.Metadata_BE.dto,ResponseV2RecordInfo,38,0,0,0,16,0,11,0,11,0
MetaData_Service,com.tvu.Metadata_BE.dto,MetaRequestsDTO,94,0,0,0,40,0,27,0,27,0
MetaData_Service,com.tvu.Metadata_BE.dto,SourcesDTO,45,0,0,0,19,0,13,0,13,0
MetaData_Service,com.tvu.Metadata_BE.dto,ResponseSessionInfo,45,0,0,0,19,0,13,0,13,0
MetaData_Service,com.tvu.Metadata_BE.dto,SourceDTO,45,0,0,0,19,0,13,0,13,0
MetaData_Service,com.tvu.Metadata_BE.dto,ShortStoriesDTO,52,0,0,0,22,0,15,0,15,0
MetaData_Service,com.tvu.Metadata_BE.dto,TaskDTO,31,0,0,0,13,0,9,0,9,0
MetaData_Service,com.tvu.Metadata_BE.dto,MarkerInfo,45,0,0,0,19,0,13,0,13,0
MetaData_Service,com.tvu.Metadata_BE.dto,RequestRecordInfo,17,0,0,0,7,0,5,0,5,0
MetaData_Service,com.tvu.Metadata_BE.dto,MarkerDTO,45,0,0,0,19,0,13,0,13,0
MetaData_Service,com.tvu.Metadata_BE.dto,CreateDownloadTaskResponse,31,0,0,0,13,0,9,0,9,0
MetaData_Service,com.tvu.Metadata_BE.dto,RecordInfoRecordDTO,52,0,0,0,22,0,15,0,15,0
MetaData_Service,com.tvu.Metadata_BE.dto,SessionDTO,87,0,0,0,37,0,25,0,25,0
MetaData_Service,com.tvu.Metadata_BE.dto,MetaDataResponse,17,0,0,0,7,0,5,0,5,0
MetaData_Service,com.tvu.Metadata_BE.dto,RecordsDTO,38,0,0,0,16,0,11,0,11,0
MetaData_Service,com.tvu.Metadata_BE.dto,ResponseRecordInfo,31,0,0,0,13,0,9,0,9,0
MetaData_Service,com.tvu.Metadata_BE.dto,ResponseDTO,17,0,0,0,7,0,5,0,5,0
MetaData_Service,com.tvu.Metadata_BE.dto,MarkerResponse,24,0,0,0,10,0,7,0,7,0
MetaData_Service,com.tvu.Metadata_BE.dto,DownloadFileResponseDTO,94,0,0,0,40,0,27,0,27,0
MetaData_Service,com.tvu.Metadata_BE.dto,DownloadFileRequestDTO,45,0,0,0,19,0,13,0,13,0
MetaData_Service,com.tvu.Metadata_BE.dto,SceneDTO,24,0,0,0,10,0,7,0,7,0
MetaData_Service,com.tvu.Metadata_BE.dto,RequestSessionInfo,24,0,0,0,10,0,7,0,7,0
MetaData_Service,com.tvu.Metadata_BE.controller,MetaDataController,423,7,12,0,64,2,17,2,11,2
MetaData_Service,com.tvu.Metadata_BE.controller,MetaDataControllerV2,74,0,0,0,10,0,4,0,4,0
MetaData_Service,com.tvu.Metadata_BE.controller,SystemController,13,0,0,0,2,0,2,0,2,0
MetaData_Service,com.tvu.Metadata_BE,Constants.API,3,0,0,0,1,0,1,0,1,0
MetaData_Service,com.tvu.Metadata_BE,ApplicationLuncher,15,0,0,0,5,0,3,0,3,0
MetaData_Service,com.tvu.Metadata_BE,SwaggerConfig,54,0,0,0,14,0,3,0,3,0
MetaData_Service,com.tvu.Metadata_BE,Constants,3,0,0,0,1,0,1,0,1,0
MetaData_Service,com.tvu.Metadata_BE.stub,DownloadFileStub,235,0,4,0,49,0,8,0,6,0
MetaData_Service,com.tvu.Metadata_BE.stub,MetadataStub,466,0,34,0,127,0,21,0,4,0
MetaData_Service,com.tvu.Metadata_BE.stub,CreateTaskStub.new Runnable() {...},408,0,8,0,74,0,6,0,2,0
MetaData_Service,com.tvu.Metadata_BE.stub,SourceStub,106,0,2,0,24,0,4,0,3,0
MetaData_Service,com.tvu.Metadata_BE.stub,MarkerStub,474,3,24,0,116,1,17,1,5,1
MetaData_Service,com.tvu.Metadata_BE.stub,MetadataStub.new Runnable() {...},55,0,0,0,3,0,2,0,2,0
MetaData_Service,com.tvu.Metadata_BE.stub,MetadataStub.new Runnable() {...},57,0,0,0,5,0,2,0,2,0
MetaData_Service,com.tvu.Metadata_BE.stub,SessionStub,376,0,22,0,81,0,16,0,5,0
MetaData_Service,com.tvu.Metadata_BE.stub,CreateTaskStub,130,0,4,0,25,0,5,0,3,0
MetaData_Service,com.tvu.Metadata_BE.stub,RecordStub,605,0,34,0,142,0,21,0,4,0
MetaData_Service,com.tvu.Metadata_BE.scheduler,Scheduler,382,0,24,0,55,0,17,0,5,0
